Product_Name,Pricing,Ratings
Apple iPhone SE (Gold| 32 GB),Rs.16999,4.563,923
Apple iPhone SE (Rose Gold| 32 GB),Rs.16999,4.563,923
Apple iPhone 6s Plus (Gold| 32 GB),Rs.33999,4.43,400
Apple iPhone 6 (Gold| 32 GB),Rs.22999,4.456,456
Apple iPhone 6s (Space Grey| 32 GB),Rs.27999,4.523,187
Apple iPhone 6s Plus (Space Grey| 32 GB),Rs.33999,4.53,540
Apple iPhone SE (Space Grey| 32 GB),Rs.17999,4.563,923
Apple iPhone 6s Plus (Silver| 32 GB),Rs.33999,4.41,208
Apple iPhone 6s Plus (Rose Gold| 32 GB),Rs.33999,4.43,564
Apple iPhone 7 (Rose Gold| 32 GB),Rs.37999,4.58,328
Apple iPhone 6s (Rose Gold| 32 GB),Rs.27999,4.514,121
Apple iPhone 7 (Silver| 32 GB),Rs.37999,4.53,626
Apple iPhone 7 (Gold| 32 GB),Rs.37999,4.56,841
Apple iPhone 7 Plus (Black| 32 GB),Rs.49865,4.61,055
Apple iPhone 6s (Gold| 32 GB),Rs.27999,4.413,815
Apple iPhone SE (Silver| 32 GB),Rs.17999,4.55,755
Apple iPhone 7 (Black| 32 GB),Rs.37999,4.526,254
Apple iPhone 6s (Silver| 32 GB),Rs.27999,4.44,920
Apple iPhone 8 (PRODUCT)RED (Red| 64 GB),Rs.58999,4.769
Apple iPhone 6 (Space Grey| 32 GB),Rs.24280,4.456,456
Apple iPhone 8 (Silver| 64 GB),Rs.58999,4.52,394
Apple iPhone 8 (Space Grey| 64 GB),Rs.60490,4.52,394
Apple iPhone XS Max (Gold| 256 GB),Rs.124900Up to ,4.7869
Apple iPhone XS (Space Grey| 64 GB),Rs.99900Up to ,4.6551
